iter	RMSE
0	53.05954141
1	50.92948091
2	48.90379288
3	46.96162486
4	45.1105023
5	43.35839487
6	41.70941217
7	40.11951809
8	38.63274487
9	37.20702213
10	35.87076617
11	34.59000144
12	33.3776564
13	32.1573953
14	31.01312798
15	29.92123712
16	28.91152418
17	27.94241455
18	27.05708723
19	26.19002547
20	25.35063504
21	24.53522762
22	23.80470106
23	23.11765257
24	22.44423137
25	21.79469791
26	21.18755285
27	20.62030272
28	20.08394863
29	19.55967759
30	19.08959285
31	18.61940554
32	18.21835936
33	17.79561215
34	17.41967031
35	17.05165697
36	16.70683505
37	16.3857279
38	16.07942759
39	15.77828025
40	15.49625338
41	15.23629752
42	14.99332846
43	14.76325564
44	14.52397301
45	14.31590991
46	14.09492496
47	13.90330079
48	13.7084197
49	13.53028858
50	13.33966602
51	13.17807582
52	13.00661753
53	12.84725478
54	12.69400614
55	12.56732043
56	12.42409522
57	12.30575566
58	12.18211229
59	12.05123452
60	11.93102946
61	11.82478385
62	11.72529728
63	11.63371299
64	11.53751439
65	11.44401172
66	11.3584609
67	11.27719802
68	11.20000913
69	11.12504526
70	11.03779812
71	10.96096151
72	10.87769728
73	10.80393665
74	10.74238294
75	10.68453604
76	10.62945408
77	10.58036402
78	10.51490676
79	10.4613648
80	10.38953594
81	10.32341383
82	10.25665635
83	10.19627582
84	10.1483889
85	10.09342022
86	10.05216758
87	10.00639716
88	9.951593227
89	9.895705314
90	9.853816528
91	9.820431372
92	9.775421445
93	9.745117738
94	9.71718265
95	9.671500708
96	9.636758739
97	9.609495413
98	9.576990099
99	9.544396611
100	9.504786617
101	9.474447025
102	9.438354046
103	9.390390642
104	9.364550164
105	9.331114166
106	9.292433699
107	9.261970436
108	9.235695039
109	9.181347189
110	9.150362388
111	9.123367483
112	9.090988167
113	9.071513254
114	9.043932406
115	9.012715032
116	8.989290116
117	8.976553694
118	8.952198651
119	8.921795694
120	8.890111146
121	8.862805917
122	8.858298233
123	8.828290855
124	8.799616075
125	8.770556483
126	8.747611166
127	8.723844383
128	8.707704627
129	8.696986711
130	8.67402008
131	8.652202933
132	8.61361936
133	8.605467577
134	8.57625537
135	8.572523704
136	8.546250958
137	8.525978028
138	8.50019072
139	8.470277629
140	8.43399773
141	8.430573644
142	8.399819525
143	8.396521461
144	8.374833659
145	8.361263498
146	8.350067932
147	8.338637167
148	8.316200639
149	8.29413864
150	8.286534928
151	8.278890284
152	8.270651322
153	8.249619623
154	8.236872045
155	8.213054744
156	8.180457558
157	8.168896424
158	8.166674966
159	8.163822189
160	8.143947647
161	8.132614865
162	8.121067746
163	8.096660342
164	8.091490708
165	8.07084776
166	8.053810469
167	8.033451181
168	8.022286816
169	7.997148967
170	7.968222538
171	7.958296067
172	7.941812035
173	7.913626757
174	7.903468671
175	7.898657863
176	7.883824985
177	7.879367635
178	7.866096928
179	7.854698605
180	7.82848966
181	7.803522297
182	7.793067487
183	7.767328159
184	7.750888777
185	7.74903653
186	7.745212374
187	7.722537412
188	7.71443987
189	7.70408355
190	7.685668719
191	7.675364876
192	7.665625397
193	7.652158312
194	7.632923259
195	7.621653106
196	7.604335532
197	7.593943563
198	7.572467947
199	7.552628134
200	7.546944726
201	7.536812779
202	7.527774996
203	7.50982331
204	7.499772018
205	7.496972153
206	7.484449207
207	7.479217322
208	7.46159951
209	7.441808159
210	7.425267526
211	7.418261392
212	7.39862006
213	7.378237184
214	7.35821732
215	7.344564257
216	7.328135896
217	7.311966642
218	7.302696621
219	7.297735821
220	7.284900572
221	7.275274491
222	7.26172944
223	7.248173951
224	7.240903259
225	7.224194917
226	7.213505425
227	7.201515153
228	7.195762322
229	7.182634447
230	7.16900013
231	7.161894521
232	7.158244861
233	7.146868318
234	7.131895167
235	7.113069278
236	7.105002128
237	7.099562492
238	7.087739173
239	7.068040332
240	7.054399063
241	7.048282325
242	7.027681513
243	7.010821906
244	7.003350138
245	6.989298712
246	6.980486509
247	6.966763697
248	6.949772544
249	6.947565756
250	6.945497368
251	6.922979417
252	6.921160099
253	6.905694625
254	6.89208668
255	6.884105645
256	6.869119257
257	6.864557094
258	6.850293573
259	6.827485706
260	6.824391374
261	6.808023922
262	6.801953513
263	6.798941716
264	6.774671486
265	6.75426952
266	6.746226284
267	6.730881165
268	6.717773562
269	6.701197794
270	6.695684473
271	6.692147427
272	6.681976048
273	6.673102487
274	6.662137883
275	6.637926639
276	6.623040727
277	6.613926912
278	6.608166807
279	6.59458454
280	6.576720414
281	6.562775893
282	6.55527399
283	6.53343634
284	6.51845639
285	6.508850802
286	6.495915268
287	6.479981464
288	6.469929838
289	6.454984208
290	6.449307301
291	6.436385864
292	6.431196758
293	6.419065277
294	6.409252178
295	6.397174032
296	6.385033788
297	6.384432056
298	6.365555599
299	6.355194289
300	6.335388501
301	6.329721139
302	6.316891733
303	6.299300662
304	6.287236575
305	6.279983189
306	6.275961378
307	6.26111229
308	6.25438255
309	6.239581054
310	6.229735842
311	6.217211036
312	6.210657412
313	6.197639881
314	6.190022787
315	6.179209306
316	6.176557903
317	6.16877237
318	6.157559744
319	6.15115365
320	6.14436
321	6.137843662
322	6.128768542
323	6.122240492
324	6.109547076
325	6.105375729
326	6.090404664
327	6.088828142
328	6.076465265
329	6.071783739
330	6.065269418
331	6.053442784
332	6.04120166
333	6.034539138
334	6.020371511
335	6.003364342
336	5.998156033
337	5.98950567
338	5.981336538
339	5.965384477
340	5.954255592
341	5.946801875
342	5.93213227
343	5.922323124
344	5.910170078
345	5.90797679
346	5.902362576
347	5.892336029
348	5.882415514
349	5.870818124
350	5.861869176
351	5.850043322
352	5.839658825
353	5.828804435
354	5.816606412
355	5.812765035
356	5.801909592
357	5.793605636
358	5.783196163
359	5.772643059
360	5.761001698
361	5.751091197
362	5.749055455
363	5.738040719
364	5.72631005
365	5.719845139
366	5.716530816
367	5.706111831
368	5.703150713
369	5.692835292
370	5.685409015
371	5.67716282
372	5.667312252
373	5.661561812
374	5.653991961
375	5.644388851
376	5.640201319
377	5.631429555
378	5.624307514
379	5.618854159
380	5.60839717
381	5.598564036
382	5.58905804
383	5.579098325
384	5.567993295
385	5.558620397
386	5.550520521
387	5.543303606
388	5.535283546
389	5.524572837
390	5.513975294
391	5.508317065
392	5.50209019
393	5.499530914
394	5.494381312
395	5.484690666
396	5.470726647
397	5.460291009
398	5.459912206
399	5.457915512
400	5.449719513
401	5.448178971
402	5.443008987
403	5.432949658
404	5.426040427
405	5.424629546
406	5.412124436
407	5.410421502
408	5.406648143
409	5.404638164
410	5.396206939
411	5.389275501
412	5.381805333
413	5.372503274
414	5.363652117
415	5.353326547
416	5.346506604
417	5.34579635
418	5.334851896
419	5.328392229
420	5.316623741
421	5.310153695
422	5.302058015
423	5.298595089
424	5.29517142
425	5.283944449
426	5.278093015
427	5.268863153
428	5.257174865
429	5.253833296
430	5.247762652
431	5.239539981
432	5.233313361
433	5.224525097
434	5.22320366
435	5.218272261
436	5.212484485
437	5.205553643
438	5.204267791
439	5.202542048
440	5.18949834
441	5.183467352
442	5.178778221
443	5.170683148
444	5.166150718
445	5.160154475
446	5.154182617
447	5.149537142
448	5.143960241
449	5.136133617
450	5.126298496
451	5.115421817
452	5.114189914
453	5.106851691
454	5.105002725
455	5.096116947
456	5.093449249
457	5.091828213
458	5.086648441
459	5.079065642
460	5.070658602
461	5.060700915
462	5.056968062
463	5.049608502
464	5.044110464
465	5.03926768
466	5.034354111
467	5.024219394
468	5.016738091
469	5.015552522
470	5.014230478
471	5.009838529
472	5.008664265
473	5.00580713
474	4.998618777
475	4.996894715
476	4.99229842
477	4.983675145
478	4.977552181
479	4.970370973
480	4.957606064
481	4.956125344
482	4.949811797
483	4.941607918
484	4.938970711
485	4.932802258
486	4.924978969
487	4.914518165
488	4.911906138
489	4.908041823
490	4.900769894
491	4.89513338
492	4.885808642
493	4.878059105
494	4.869820097
495	4.865441556
496	4.856325379
497	4.853220087
498	4.847514797
499	4.840879958
500	4.835839221
501	4.831602523
502	4.825352465
503	4.822922574
504	4.822024244
505	4.815646975
506	4.813503841
507	4.806475888
508	4.805032702
509	4.798748569
510	4.791042092
511	4.789989604
512	4.788148729
513	4.78303616
514	4.779070062
515	4.771255433
