iter	Passed	Remaining
0	3	2643
1	5	2360
2	7	2184
3	10	2131
4	12	2087
5	14	2054
6	16	2039
7	18	1996
8	20	1953
9	22	1911
10	24	1882
11	26	1854
12	28	1835
13	30	1814
14	32	1793
15	34	1774
16	35	1757
17	37	1750
18	39	1735
19	41	1730
20	43	1736
21	46	1735
22	48	1726
23	49	1712
24	51	1706
25	53	1701
26	55	1697
27	57	1688
28	59	1683
29	61	1687
30	63	1684
31	65	1679
32	67	1677
33	69	1679
34	72	1677
35	74	1675
36	76	1683
37	79	1690
38	81	1698
39	84	1716
40	87	1735
41	90	1743
42	92	1737
43	94	1726
44	96	1719
45	97	1711
46	100	1708
47	102	1709
48	104	1713
49	107	1714
50	109	1712
51	111	1708
52	113	1708
53	116	1712
54	124	1804
55	127	1802
56	129	1798
57	131	1793
58	133	1788
59	135	1781
60	137	1774
61	139	1777
62	142	1775
63	144	1772
64	146	1771
65	149	1771
66	151	1766
67	153	1764
68	155	1760
69	158	1761
70	160	1759
71	162	1756
72	164	1753
73	166	1750
74	168	1746
75	171	1741
76	173	1741
77	175	1735
78	177	1733
79	179	1728
80	181	1727
81	183	1722
82	186	1720
83	188	1714
84	190	1711
85	192	1707
86	194	1701
87	195	1695
88	198	1693
89	200	1689
90	201	1684
91	203	1680
92	206	1676
93	207	1671
94	209	1666
95	211	1660
96	213	1655
97	215	1651
98	217	1650
99	219	1647
100	221	1642
101	223	1637
102	225	1634
103	227	1631
104	230	1632
105	232	1629
106	234	1630
107	237	1628
108	239	1631
109	258	1739
110	260	1736
111	262	1732
112	265	1729
113	267	1724
114	269	1719
115	270	1714
116	273	1711
117	275	1708
118	277	1704
119	279	1699
120	281	1694
121	282	1688
122	284	1684
123	286	1679
124	289	1676
125	291	1672
126	293	1668
127	294	1663
128	296	1659
129	299	1657
130	301	1655
131	303	1651
132	305	1647
133	307	1644
134	309	1641
135	311	1637
136	314	1635
137	316	1634
138	319	1632
139	321	1629
140	323	1626
141	325	1621
142	327	1617
143	328	1612
144	331	1610
145	333	1607
146	335	1603
147	337	1600
148	339	1596
149	341	1593
150	343	1590
151	345	1587
152	347	1583
153	349	1579
154	351	1576
155	353	1571
156	355	1569
157	357	1565
158	359	1562
159	361	1558
160	363	1555
161	365	1552
162	367	1548
163	369	1544
164	371	1540
165	373	1538
166	375	1536
167	378	1534
168	380	1532
169	382	1528
170	384	1524
171	385	1521
172	388	1519
173	390	1515
174	392	1513
175	394	1511
176	397	1509
177	399	1507
178	402	1508
179	404	1506
180	406	1503
181	409	1501
182	412	1503
183	415	1504
184	418	1503
185	421	1503
186	423	1501
187	425	1498
188	427	1494
189	429	1491
190	431	1488
191	433	1485
192	435	1481
193	437	1479
194	439	1475
195	441	1472
196	442	1468
197	444	1464
198	446	1462
199	448	1459
200	451	1456
201	453	1453
202	455	1450
203	457	1447
204	459	1444
205	461	1442
206	463	1438
207	465	1435
208	467	1432
209	469	1429
210	471	1426
211	473	1423
212	475	1422
213	477	1419
214	480	1417
215	482	1415
216	483	1411
217	485	1408
218	487	1405
219	490	1403
220	492	1400
221	494	1397
222	496	1395
223	498	1392
224	500	1389
225	502	1388
226	505	1386
227	507	1384
228	509	1381
229	511	1379
230	514	1378
231	517	1378
232	520	1378
233	523	1377
234	525	1375
235	527	1372
236	529	1370
237	531	1367
238	533	1365
239	536	1362
240	538	1360
241	540	1358
242	542	1355
243	544	1353
244	547	1352
245	549	1350
246	552	1348
247	554	1346
248	556	1344
249	559	1342
250	561	1340
251	563	1337
252	565	1334
253	567	1330
254	569	1328
255	571	1325
256	573	1323
257	575	1321
258	578	1319
259	579	1315
260	581	1313
261	584	1310
262	586	1308
263	588	1306
264	590	1303
265	592	1301
266	595	1300
267	597	1297
268	599	1294
269	601	1293
270	604	1291
271	606	1289
272	608	1286
273	610	1283
274	612	1281
275	615	1279
276	617	1276
277	619	1274
278	621	1272
279	624	1270
280	626	1268
281	628	1266
282	630	1263
283	632	1261
284	635	1259
285	637	1256
286	639	1254
287	641	1251
288	643	1249
289	645	1247
290	647	1244
291	649	1241
292	652	1239
293	654	1237
294	656	1235
295	658	1232
296	660	1229
297	662	1227
298	664	1225
299	667	1222
300	669	1220
301	671	1218
302	673	1215
303	675	1213
304	679	1213
305	681	1211
306	684	1209
307	686	1207
308	688	1204
309	690	1203
310	693	1201
311	696	1200
312	699	1199
313	701	1196
314	703	1194
315	705	1192
316	707	1189
317	709	1186
318	711	1184
319	714	1182
320	716	1180
321	719	1179
322	721	1177
323	723	1174
324	725	1172
325	727	1169
326	729	1167
327	731	1164
328	734	1162
329	736	1159
330	737	1157
331	740	1154
332	742	1152
333	744	1150
334	746	1147
335	748	1145
336	750	1143
337	753	1141
338	755	1139
339	757	1136
340	760	1134
341	762	1132
342	764	1129
343	766	1127
344	768	1125
345	770	1122
346	772	1119
347	774	1117
348	777	1115
349	779	1113
350	781	1110
351	783	1108
352	785	1106
353	787	1103
354	789	1101
355	792	1099
356	794	1096
357	796	1094
358	798	1091
359	800	1089
360	802	1086
361	804	1084
362	807	1083
363	809	1080
364	811	1077
365	812	1075
366	815	1072
367	816	1070
368	818	1067
369	821	1065
370	823	1062
371	825	1060
372	827	1058
373	829	1055
374	831	1053
375	833	1050
376	836	1049
377	838	1046
378	840	1044
379	842	1041
380	844	1038
381	845	1036
382	847	1033
383	849	1030
384	851	1028
385	853	1025
386	855	1023
387	857	1021
388	859	1019
389	861	1016
390	863	1013
391	865	1011
392	867	1008
393	869	1005
394	870	1003
395	872	1000
396	874	998
397	876	995
398	878	992
399	880	990
400	883	988
401	885	986
402	887	984
403	889	981
404	891	979
405	892	976
406	895	974
407	897	971
408	898	969
409	900	966
410	902	964
411	904	961
412	906	959
413	908	956
414	910	954
415	912	951
416	914	950
417	916	947
418	919	945
419	921	943
420	924	941
421	926	939
422	928	937
423	931	935
424	933	933
425	934	930
426	937	928
427	938	925
428	940	923
429	942	920
430	944	918
431	946	915
432	948	913
433	950	911
434	952	908
435	954	906
436	956	903
437	958	901
438	960	899
439	962	896
440	964	894
441	966	892
442	968	889
443	970	887
444	972	884
445	974	882
446	976	880
447	978	877
448	980	875
449	981	872
450	983	870
451	985	867
452	987	865
453	989	862
454	991	860
455	993	858
456	994	855
457	996	853
458	998	850
459	1000	848
460	1002	845
461	1004	843
462	1006	840
463	1008	838
464	1010	836
465	1012	834
466	1014	831
467	1016	829
468	1018	827
469	1019	824
470	1021	822
471	1023	819
472	1025	817
473	1027	814
474	1029	812
475	1031	810
476	1033	808
477	1035	805
478	1037	803
479	1039	801
480	1041	798
481	1043	796
482	1046	795
483	1048	792
484	1050	790
485	1052	788
486	1054	786
487	1056	783
488	1058	781
489	1060	779
490	1062	777
491	1064	774
492	1066	772
493	1068	769
494	1070	767
495	1072	765
496	1074	763
497	1076	760
498	1078	758
499	1080	756
500	1082	753
501	1084	751
502	1086	749
503	1087	746
504	1089	744
505	1091	742
506	1093	739
507	1095	737
508	1097	735
509	1099	732
510	1101	730
511	1102	727
512	1104	725
513	1106	723
514	1108	721
515	1110	719
516	1113	716
517	1114	714
518	1116	712
519	1118	709
520	1120	707
521	1122	705
522	1124	703
523	1126	700
524	1128	698
525	1130	696
526	1132	693
527	1134	691
528	1135	689
529	1138	687
530	1139	684
531	1141	682
532	1143	680
533	1145	677
534	1147	675
535	1150	673
536	1151	671
537	1154	669
538	1157	667
539	1159	665
540	1163	664
541	1165	662
542	1167	660
543	1170	658
544	1172	656
545	1174	653
546	1176	651
547	1177	649
548	1180	646
549	1182	644
550	1184	642
551	1186	640
552	1188	638
553	1190	636
554	1192	633
555	1194	631
556	1196	629
557	1198	627
558	1200	624
559	1202	622
560	1204	620
561	1206	618
562	1208	615
563	1210	613
564	1212	611
565	1214	609
566	1216	607
567	1218	604
568	1220	602
569	1222	600
570	1224	598
571	1226	595
572	1228	593
573	1230	591
574	1232	589
575	1234	587
576	1236	584
577	1238	582
578	1239	580
579	1241	577
580	1243	575
581	1245	573
582	1247	571
583	1249	568
584	1251	566
585	1252	564
586	1254	562
587	1256	559
588	1258	557
589	1260	555
590	1261	553
591	1263	550
592	1265	548
593	1267	546
594	1269	544
595	1271	541
596	1273	539
597	1275	537
598	1277	535
599	1279	532
600	1280	530
601	1282	528
602	1284	526
603	1286	523
604	1288	521
605	1289	519
606	1291	516
607	1293	514
608	1295	512
609	1297	510
610	1299	508
611	1301	506
612	1303	503
613	1305	501
614	1307	499
615	1309	497
616	1311	495
617	1313	493
618	1315	490
619	1317	488
620	1319	486
621	1321	484
622	1323	482
623	1325	479
624	1326	477
625	1329	475
626	1331	473
627	1333	471
628	1335	469
629	1337	467
630	1339	464
631	1341	462
632	1343	460
633	1345	458
634	1347	456
635	1348	453
636	1350	451
637	1352	449
638	1354	447
639	1356	445
640	1358	442
641	1360	440
642	1362	438
643	1364	436
644	1366	434
645	1368	432
646	1370	430
647	1372	427
648	1374	425
649	1376	423
650	1378	421
651	1380	419
652	1382	416
653	1384	414
654	1386	412
655	1388	410
656	1390	408
657	1392	406
658	1394	404
659	1395	401
660	1397	399
661	1399	397
662	1401	395
663	1403	393
664	1405	391
665	1407	388
666	1409	386
667	1411	384
668	1412	382
669	1414	380
670	1416	377
671	1418	375
672	1420	373
673	1422	371
674	1424	369
675	1426	367
676	1428	365
677	1430	362
678	1432	360
679	1435	358
680	1438	356
681	1440	354
682	1444	353
683	1447	351
684	1448	349
685	1450	346
686	1453	344
687	1455	342
688	1457	340
689	1459	338
690	1461	336
691	1462	334
692	1465	331
693	1466	329
694	1468	327
695	1470	325
696	1472	323
697	1474	321
698	1476	318
699	1477	316
700	1479	314
701	1481	312
702	1483	310
703	1485	307
704	1487	305
705	1488	303
706	1491	301
707	1492	299
708	1494	297
709	1496	295
710	1498	292
711	1499	290
712	1501	288
713	1503	286
714	1505	284
715	1507	282
716	1508	279
717	1510	277
718	1512	275
719	1513	273
720	1515	271
721	1517	268
722	1518	266
723	1520	264
724	1523	262
725	1524	260
726	1526	258
727	1529	256
728	1532	254
729	1534	252
730	1536	250
731	1539	248
732	1542	246
733	1544	244
734	1547	242
735	1549	239
736	1550	237
737	1552	235
738	1554	233
739	1556	231
740	1558	229
741	1560	227
742	1561	224
743	1563	222
744	1565	220
745	1567	218
746	1569	216
747	1570	214
748	1572	212
749	1574	209
750	1576	207
751	1578	205
752	1579	203
753	1581	201
754	1583	199
755	1585	197
756	1587	194
757	1589	192
758	1590	190
759	1592	188
760	1594	186
761	1596	184
762	1598	182
763	1600	180
764	1602	178
765	1604	175
766	1605	173
767	1607	171
768	1609	169
769	1611	167
770	1613	165
771	1615	163
772	1617	161
773	1619	159
774	1621	156
775	1623	154
776	1625	152
777	1627	150
778	1629	148
779	1631	146
780	1633	144
781	1635	142
782	1636	140
783	1638	137
784	1640	135
785	1642	133
786	1644	131
787	1646	129
788	1648	127
789	1649	125
790	1651	123
791	1653	121
792	1655	118
793	1657	116
794	1658	114
795	1660	112
796	1662	110
797	1664	108
798	1666	106
799	1667	104
